Index,Date,Open,High,Low,Close,Adj Close,Volume
204,12/1/17,6844.04,7003.89,6734.13,6903.39,6903.39,38755950000
205,1/1/18,6937.65,7505.77,6924.08,7411.48,7411.48,44694030000
206,2/1/18,7377.17,7441.09,6630.67,7273.01,7273.01,44063140000
207,3/1/18,7274.75,7637.27,6901.07,7063.45,7063.45,48760550000
208,3/31/18,7016.17,7319.58,6805.96,7066.27,7066.27,43233040000
209,4/30/18,7053.65,7492.42,6991.14,7442.12,7442.12,45761130000
210,5/31/18,7487.66,7806.6,7419.56,7510.3,7510.3,48573740000
211,6/30/18,7451.9,7933.31,7443.1,7671.79,7671.79,38964090000
212,7/31/18,7701.82,8133.3,7659.52,8109.54,8109.54,46197780000
213,8/31/18,8087.95,8104.07,7873.93,8046.35,8046.35,44907360000
214,9/30/18,8091.5,8107.38,6922.83,7305.9,7305.9,61889960000
215,10/31/18,7327.82,7572.93,6830.76,7330.54,7330.54,48901700000
216,12/1/18,7486.13,7486.51,6190.17,6635.28,6635.28,49224830000
217,1/1/19,6506.91,7303.12,6457.13,7281.74,7281.74,49542480000
218,2/1/19,7256.37,7602.69,7225.14,7532.53,7532.53,42628810000
219,3/1/19,7587.45,7850.11,7332.92,7729.32,7729.32,49622660000
220,3/31/19,7800.24,8176.08,7777.09,8095.39,8095.39,43553400000
221,4/30/19,8132.93,8164.71,7448.23,7453.15,7453.15,47822630000
222,5/31/19,7441.21,8088.88,7292.22,8006.24,8006.24,44821400000
223,6/30/19,8145.85,8339.64,8059.29,8175.42,8175.42,42846360000
224,7/31/19,8190.56,8311.04,7662.9,7962.88,7962.88,46323300000
225,8/31/19,7906.44,8243.8,7847.32,7999.34,7999.34,41720490000
226,9/30/19,8026.83,8335.56,7700,8292.36,8292.36,44203530000
227,10/31/19,8335.05,8705.91,8326.56,8665.47,8665.47,41773310000
228,12/1/19,8672.84,9052,8435.4,8972.6,8972.6,46214040000
229,1/1/20,9039.46,9451.43,8943.5,9150.94,9150.94,52694760000
230,2/1/20,9190.72,9838.37,8264.16,8567.37,8567.37,53886320000
231,3/1/20,8667.14,9070.32,6631.42,7700.1,7700.1,97320230000
232,3/31/20,7459.5,8957.27,7288.11,8889.55,8889.55,79171670000
233,4/30/20,8681.29,9523.64,8537.83,9489.87,9489.87,81175640000
234,5/31/20,9471.42,10221.85,9403,10058.77,10058.77,1.12E+11
235,6/30/20,10063.67,10839.93,10048.04,10745.27,10745.27,95054280000
236,7/31/20,10848.64,11829.84,10762.71,11775.46,11775.46,78996130000
237,8/31/20,11850.96,12074.06,10519.49,11167.51,11167.51,82496920000
238,9/30/20,11291.99,11965.54,10822.57,10911.59,10911.59,78287400000
239,10/31/20,11010.45,12244.65,10830.95,12198.74,12198.74,91282630000
240,12/1/20,12313.36,12973.33,12214.74,12888.28,12888.28,1.13E+11
241,1/1/21,12958.52,13728.98,12543.24,13070.69,13070.69,1.40E+11
242,2/1/21,13226.18,14175.12,13003.98,13192.35,13192.35,1.43E+11
243,3/1/21,13406.16,13620.71,12397.05,13246.87,13246.87,1.34E+11
244,3/31/21,13414.32,14211.57,13404.18,13962.68,13962.68,91591470000
245,4/30/21,14031.77,14042.12,13002.54,13748.74,13748.74,89415440000
246,5/31/21,13829.06,14535.97,13548.93,14503.95,14503.95,1.08E+11
247,6/30/21,14493.69,14863.65,14178.66,14672.68,14672.68,88708530000
248,7/31/21,14758.6,15288.08,14423.16,15259.24,15259.24,88083480000
249,8/31/21,15308.98,15403.44,14444.3,14448.58,14448.58,95275100000
250,9/30/21,14494.93,15504.12,14181.69,15498.39,15498.39,99492020000
251,10/31/21,15541.26,16212.23,15451.39,15537.69,15537.69,1.09E+11
252,12/1/21,15752.27,15901.47,14860.04,15644.97,15644.97,1.04E+11
253,1/1/22,15732.5,15852.14,13094.65,14239.88,14239.88,1.00E+11
254,2/1/22,14277.43,14509.56,12587.88,13751.4,13751.4,89543300000
255,3/1/22,13716.7,14646.9,12555.35,14220.52,14220.52,1.31E+11
256,3/31/22,14269.53,14534.38,12315.74,12334.64,12334.64,96581010000
257,4/30/22,12331.69,12985.01,11035.69,12081.39,12081.39,1.11E+11
258,5/31/22,12176.89,12320.12,10565.14,11028.74,11028.74,1.14E+11
259,6/30/22,11006.83,12426.26,10911.45,12390.69,12390.69,94293720000
260,7/31/22,12317.96,13181.09,11790.02,11816.2,11816.2,1.10E+11
261,8/31/22,11707.44,12270.19,10572.33,10575.62,10575.62,98888530000
262,9/30/22,10659.01,11230.44,10088.83,10988.15,10988.15,98292380000
263,10/31/22,11154.74,11492.62,10262.93,11468,11468,1.02E+11
264,12/1/22,11475.17,11571.64,10207.47,10466.48,10466.48,1.00E+11
